Category,Name,ImageUrl,ProductUrl,ProviderName,Price
bed,Comfort Craft Solid Wood Bed,/database/bed/Screenshot 2026-06-11 124919.png,https://www.pepperfry.com/product/comfort-craft-solid-wood-bed-1980000.html,Pepperfry,$199.00
bed,Deluxe Velvet Tufted Bed,/database/bed/Screenshot 2026-06-11 124939.png,https://www.pepperfry.com/product/deluxe-velvet-tufted-bed-1980001.html,Pepperfry,$199.00
bed,Platform Storage Queen Bed,/database/bed/Screenshot 2026-06-11 124957.png,https://www.pepperfry.com/product/platform-storage-queen-bed-1980002.html,Pepperfry,$199.00
bed,Solid Teak Wood Queen Bed,/database/bed/wooden_bed.png,https://www.pepperfry.com/product/solid-teak-wood-queen-bed-1980003.html,Pepperfry,$199.00
carpets,Handwoven Woolen Area Carpet,/database/carpets/Screenshot 2026-06-13 141952.png,https://www.pepperfry.com/product/handwoven-woolen-area-carpet-1990000.html,Pepperfry,$249.00
carpets,Modern Geometric Floor Rug,/database/carpets/Screenshot 2026-06-13 142016.png,https://www.pepperfry.com/product/modern-geometric-floor-rug-1990001.html,Pepperfry,$249.00
carpets,Classic Persian Floral Carpet,/database/carpets/Screenshot 2026-06-13 142045.png,https://www.pepperfry.com/product/classic-persian-floral-carpet-1990002.html,Pepperfry,$249.00
carpets,Plush Shag Living Room Rug,/database/carpets/Screenshot 2026-06-13 142107.png,https://www.pepperfry.com/product/plush-shag-living-room-rug-1990003.html,Pepperfry,$249.00
chairs,Ergonomic Velvet Accent Chair,/database/chairs/Screenshot 2026-06-13 142159.png,https://www.pepperfry.com/product/ergonomic-velvet-accent-chair-1990000.html,Pepperfry,$199.00
chairs,Mid-Century Wooden Lounge Chair,/database/chairs/Screenshot 2026-06-13 142216.png,https://www.pepperfry.com/product/mid-century-wooden-lounge-chair-1990001.html,Pepperfry,$199.00
chairs,Tufted Leather Armchair,/database/chairs/Screenshot 2026-06-13 142232.png,https://www.pepperfry.com/product/tufted-leather-armchair-1990002.html,Pepperfry,$199.00
chairs,Minimalist Office Desk Chair,/database/chairs/Screenshot 2026-06-13 142248.png,https://www.pepperfry.com/product/minimalist-office-desk-chair-1990003.html,Pepperfry,$199.00
curtains,Premium Blackout Window Curtain,/database/curtains/Screenshot 2026-06-11 124654.png,https://www.pepperfry.com/product/premium-blackout-window-curtain-1990000.html,Pepperfry,$199.00
curtains,Sheer Linen Blend Curtain Panel,/database/curtains/Screenshot 2026-06-11 124703.png,https://www.pepperfry.com/product/sheer-linen-blend-curtain-panel-1990001.html,Pepperfry,$199.00
curtains,Textured Jacquard Drapery Set,/database/curtains/Screenshot 2026-06-11 124717.png,https://www.pepperfry.com/product/textured-jacquard-drapery-set-1990002.html,Pepperfry,$199.00
curtains,Modern Grommet Top Curtain,/database/curtains/Screenshot 2026-06-11 124736.png,https://www.pepperfry.com/product/modern-grommet-top-curtain-1990003.html,Pepperfry,$199.00
dining,6-Seater Solid Oak Dining Table,/database/dining/Screenshot 2026-06-11 125848.png,https://www.pepperfry.com/product/6-seater-solid-oak-dining-table-2000000.html,Pepperfry,$199.00
dining,Modern Marble Top Dining Table,/database/dining/Screenshot 2026-06-11 125906.png,https://www.pepperfry.com/product/modern-marble-top-dining-table-2000001.html,Pepperfry,$199.00
dining,Compact 4-Seater Dining Set,/database/dining/Screenshot 2026-06-11 125931.png,https://www.pepperfry.com/product/compact-4-seater-dining-set-2000002.html,Pepperfry,$199.00
front door,Solid Teak Wood Main Door,/database/front door/Screenshot 2026-06-15 135926.png,https://www.pepperfry.com/product/solid-teak-wood-main-door-2020000.html,Pepperfry,$599.00
front door,Classic Panel Entry Door,/database/front door/Screenshot 2026-06-15 135939.png,https://www.pepperfry.com/product/classic-panel-entry-door-2020001.html,Pepperfry,$599.00
front door,Modern Arched Wooden Door,/database/front door/Screenshot 2026-06-15 135954.png,https://www.pepperfry.com/product/modern-arched-wooden-door-2020002.html,Pepperfry,$599.00
front door,Craftsman Exterior Pivot Door,/database/front door/Screenshot 2026-06-15 140021.png,https://www.pepperfry.com/product/craftsman-exterior-pivot-door-2020003.html,Pepperfry,$599.00
hanging_lights,Industrial Brass Pendant Light,/database/hanging_lights/Screenshot 2026-06-13 141220.png,https://www.pepperfry.com/product/industrial-brass-pendant-light-2040000.html,Pepperfry,$129.00
hanging_lights,Modern Sphere Glass Chandelier,/database/hanging_lights/Screenshot 2026-06-13 141235.png,https://www.pepperfry.com/product/modern-sphere-glass-chandelier-2040001.html,Pepperfry,$129.00
hanging_lights,Geometric Metal Hanging Lamp,/database/hanging_lights/Screenshot 2026-06-13 141306.png,https://www.pepperfry.com/product/geometric-metal-hanging-lamp-2040002.html,Pepperfry,$129.00
hanging_lights,Vintage Edison Bulb Pendant,/database/hanging_lights/Screenshot 2026-06-13 141320.png,https://www.pepperfry.com/product/vintage-edison-bulb-pendant-2040003.html,Pepperfry,$129.00
roof tiles,Modern Pepperfry roof tiles,/database/roof tiles/Screenshot 2026-06-15 135651.png,https://www.pepperfry.com/product/modern-pepperfry-roof-tiles-2140000.html,Pepperfry,$5.99 / sq ft
roof tiles,Modern Pepperfry roof tiles 2,/database/roof tiles/Screenshot 2026-06-15 135718.png,https://www.pepperfry.com/product/modern-pepperfry-roof-tiles-2-2140001.html,Pepperfry,$5.99 / sq ft
roof tiles,Modern Pepperfry roof tiles 3,/database/roof tiles/Screenshot 2026-06-15 135744.png,https://www.pepperfry.com/product/modern-pepperfry-roof-tiles-3-2140002.html,Pepperfry,$5.99 / sq ft
setees,Emerald Green Velvet 3-Seater Sofa,/database/setees/emerald_sofa.png,https://www.pepperfry.com/product/emerald-green-velvet-3-seater-sofa-2150000.html,Pepperfry,$199.00
setees,Rustic Wooden Dining Bench,/database/setees/Screenshot 2026-06-11 124454.png,https://www.pepperfry.com/product/rustic-wooden-dining-bench-2150001.html,Pepperfry,$199.00
setees,Modern Upholstered Settee,/database/setees/Screenshot 2026-06-11 124521.png,https://www.pepperfry.com/product/modern-upholstered-settee-2150002.html,Pepperfry,$199.00
setees,Classic Storage Trunk Bench,/database/setees/Screenshot 2026-06-11 124541.png,https://www.pepperfry.com/product/classic-storage-trunk-bench-2150003.html,Pepperfry,$199.00
setees,Tufted Velvet Entryway Bench 2,/database/setees/Screenshot 2026-06-13 142320.png,https://www.pepperfry.com/product/tufted-velvet-entryway-bench-2-2150004.html,Pepperfry,$199.00
setees,Rustic Wooden Dining Bench 2,/database/setees/Screenshot 2026-06-13 142336.png,https://www.pepperfry.com/product/rustic-wooden-dining-bench-2-2150005.html,Pepperfry,$199.00
table,Minimalist Solid Wood Coffee Table,/database/table/coffee_table.png,https://www.pepperfry.com/product/minimalist-solid-wood-coffee-table-2160000.html,Pepperfry,$199.00
table,Industrial Oak Coffee Table,/database/table/Screenshot 2026-06-11 124803.png,https://www.pepperfry.com/product/industrial-oak-coffee-table-2160001.html,Pepperfry,$199.00
table,Floating Console Wall Table,/database/table/Screenshot 2026-06-11 124828.png,https://www.pepperfry.com/product/floating-console-wall-table-2160002.html,Pepperfry,$199.00
table,Sleek Metal Nesting Tables,/database/table/Screenshot 2026-06-11 124841.png,https://www.pepperfry.com/product/sleek-metal-nesting-tables-2160003.html,Pepperfry,$199.00
table_lights,Ceramic Bedside Table Lamp,/database/table_lights/Screenshot 2026-06-13 142417.png,https://www.pepperfry.com/product/ceramic-bedside-table-lamp-2160000.html,Pepperfry,$129.00
table_lights,Adjustable Brass Desk Task Lamp,/database/table_lights/Screenshot 2026-06-13 142431.png,https://www.pepperfry.com/product/adjustable-brass-desk-task-lamp-2160001.html,Pepperfry,$129.00
table_lights,Modern Glass Globe Table Light,/database/table_lights/Screenshot 2026-06-13 142453.png,https://www.pepperfry.com/product/modern-glass-globe-table-light-2160002.html,Pepperfry,$129.00
table_lights,Earthy Terracotta Accent Lamp,/database/table_lights/Screenshot 2026-06-13 142525.png,https://www.pepperfry.com/product/earthy-terracotta-accent-lamp-2160003.html,Pepperfry,$129.00
tiles,Premium Italian Marble Floor Tile,/database/tiles/marble_tile.png,https://www.pepperfry.com/product/premium-italian-marble-floor-tile-2160000.html,Pepperfry,$5.99 / sq ft
tiles,Rustic Honey Oak Wood Floor Tile,/database/tiles/oak_wood_tile.png,https://www.pepperfry.com/product/rustic-honey-oak-wood-floor-tile-2160001.html,Pepperfry,$5.99 / sq ft
tiles,Terrazzo Pattern Porcelain Tile,/database/tiles/Screenshot 2026-06-11 152857.png,https://www.pepperfry.com/product/terrazzo-pattern-porcelain-tile-2160002.html,Pepperfry,$5.99 / sq ft
tiles,Polished Grey Granite Floor Tile,/database/tiles/Screenshot 2026-06-11 152925.png,https://www.pepperfry.com/product/polished-grey-granite-floor-tile-2160003.html,Pepperfry,$5.99 / sq ft
tiles,Premium White Italian Marble Tile 2,/database/tiles/Screenshot 2026-06-11 152956.png,https://www.pepperfry.com/product/premium-white-italian-marble-tile-2-2160004.html,Pepperfry,$5.99 / sq ft
tv_units,Floating Modern TV Console,/database/tv_units/Screenshot 2026-06-11 124340.png,https://www.pepperfry.com/product/floating-modern-tv-console-2160000.html,Pepperfry,$349.00
tv_units,Solid Wood Entertainment Center,/database/tv_units/Screenshot 2026-06-11 124606.png,https://www.pepperfry.com/product/solid-wood-entertainment-center-2160001.html,Pepperfry,$349.00
tv_units,Mid-Century Media Cabinet,/database/tv_units/Screenshot 2026-06-11 124634.png,https://www.pepperfry.com/product/mid-century-media-cabinet-2160002.html,Pepperfry,$349.00
tv_units,Sleek Wall Mounted TV Panel,/database/tv_units/Screenshot 2026-06-13 141742.png,https://www.pepperfry.com/product/sleek-wall-mounted-tv-panel-2160003.html,Pepperfry,$349.00
tv_units,Floating Modern TV Console 2,/database/tv_units/Screenshot 2026-06-13 141822.png,https://www.pepperfry.com/product/floating-modern-tv-console-2-2160004.html,Pepperfry,$349.00
tv_units,Solid Wood Entertainment Center 2,/database/tv_units/Screenshot 2026-06-13 141845.png,https://www.pepperfry.com/product/solid-wood-entertainment-center-2-2160005.html,Pepperfry,$349.00
tv_units,Mid-Century Media Cabinet 2,/database/tv_units/Screenshot 2026-06-13 141906.png,https://www.pepperfry.com/product/mid-century-media-cabinet-2-2160006.html,Pepperfry,$349.00
wall_decor,Abstract Canvas Framed Art,/database/wall_decor/Screenshot 2026-06-13 143434.png,https://www.pepperfry.com/product/abstract-canvas-framed-art-2190000.html,Pepperfry,$349.00
wall_decor,Sunburst Metal Wall Sculpture,/database/wall_decor/Screenshot 2026-06-13 143453.png,https://www.pepperfry.com/product/sunburst-metal-wall-sculpture-2190001.html,Pepperfry,$349.00
wall_decor,Vintage Wooden Wall Plaque,/database/wall_decor/Screenshot 2026-06-13 143701.png,https://www.pepperfry.com/product/vintage-wooden-wall-plaque-2190002.html,Pepperfry,$349.00
wall_decor,Minimalist Geometric Wall Panel,/database/wall_decor/Screenshot 2026-06-13 143722.png,https://www.pepperfry.com/product/minimalist-geometric-wall-panel-2190003.html,Pepperfry,$349.00
wall_decor,Abstract Canvas Framed Art 2,/database/wall_decor/Screenshot 2026-06-13 143815.png,https://www.pepperfry.com/product/abstract-canvas-framed-art-2-2190004.html,Pepperfry,$349.00
wall_decor,Sunburst Metal Wall Sculpture 2,/database/wall_decor/Screenshot 2026-06-13 143835.png,https://www.pepperfry.com/product/sunburst-metal-wall-sculpture-2-2190005.html,Pepperfry,$349.00
wall_hangings,Handwoven Boho Macrame Hanging,/database/wall_hangings/Screenshot 2026-06-13 141407.png,https://www.pepperfry.com/product/handwoven-boho-macrame-hanging-2190000.html,Pepperfry,$349.00
wall_hangings,Rustic Wall Hanging Mirror,/database/wall_hangings/Screenshot 2026-06-13 141442.png,https://www.pepperfry.com/product/rustic-wall-hanging-mirror-2190001.html,Pepperfry,$349.00
wall_hangings,Decorative Hanging Metal Bells,/database/wall_hangings/Screenshot 2026-06-13 141628.png,https://www.pepperfry.com/product/decorative-hanging-metal-bells-2190002.html,Pepperfry,$349.00
wall_plants,Faux Potted Monstera Plant,/database/wall_plants/Screenshot 2026-06-13 143616.png,https://www.pepperfry.com/product/faux-potted-monstera-plant-2190000.html,Pepperfry,$349.00
wall_plants,Hanging Artificial Ivy Vines,/database/wall_plants/Screenshot 2026-06-13 143633.png,https://www.pepperfry.com/product/hanging-artificial-ivy-vines-2190001.html,Pepperfry,$349.00
wall_shelves,Floating Hexagonal Wall Shelf,/database/wall_shelves/Screenshot 2026-06-13 143551.png,https://www.pepperfry.com/product/floating-hexagonal-wall-shelf-2190000.html,Pepperfry,$349.00
windows,Double-Hung Accent Window Frame,/database/windows/Screenshot 2026-06-15 140144.png,https://www.pepperfry.com/product/double-hung-accent-window-frame-2190000.html,Pepperfry,$249.00
windows,Modern Sliding Glass Window,/database/windows/Screenshot 2026-06-15 140241.png,https://www.pepperfry.com/product/modern-sliding-glass-window-2190001.html,Pepperfry,$249.00
windows,Arched Transom Top Window,/database/windows/Screenshot 2026-06-15 140250.png,https://www.pepperfry.com/product/arched-transom-top-window-2190002.html,Pepperfry,$249.00